ID,Employees,Admins,Assets,Disclose,Ransomware
564,1000.0,100.0,500.0,2.0,1.0
565,5000.0,100.0,500.0,2.0,1.0
566,10000.0,100.0,500.0,2.0,1.0
567,1.0,1000.0,500.0,2.0,1.0
568,10.0,1000.0,500.0,2.0,1.0
569,50.0,1000.0,500.0,2.0,1.0
570,100.0,1000.0,500.0,2.0,1.0
571,1000.0,1000.0,500.0,2.0,1.0
572,5000.0,1000.0,500.0,2.0,1.0
573,10000.0,1000.0,500.0,2.0,1.0
574,1.0,5000.0,500.0,2.0,1.0
575,10.0,5000.0,500.0,2.0,1.0
576,50.0,5000.0,500.0,2.0,1.0
577,100.0,5000.0,500.0,2.0,1.0
578,1000.0,5000.0,500.0,2.0,1.0
579,5000.0,5000.0,500.0,2.0,1.0
580,10000.0,5000.0,500.0,2.0,1.0
581,1.0,10000.0,500.0,2.0,1.0
582,10.0,10000.0,500.0,2.0,1.0
583,50.0,10000.0,500.0,2.0,1.0
584,100.0,10000.0,500.0,2.0,1.0
585,1000.0,10000.0,500.0,2.0,1.0
586,5000.0,10000.0,500.0,2.0,1.0
587,10000.0,10000.0,500.0,2.0,1.0
588,1.0,1.0,1000.0,2.0,1.0
589,10.0,1.0,1000.0,2.0,1.0
590,50.0,1.0,1000.0,2.0,1.0
591,100.0,1.0,1000.0,2.0,1.0
592,1000.0,1.0,1000.0,2.0,1.0
593,5000.0,1.0,1000.0,2.0,1.0
594,10000.0,1.0,1000.0,2.0,1.0
595,1.0,10.0,1000.0,2.0,1.0
596,10.0,10.0,1000.0,2.0,1.0
597,50.0,10.0,1000.0,2.0,1.0
598,100.0,10.0,1000.0,2.0,1.0
